Item,Ingredient,Quantity/Portion,Unit,found
Eggs Benedict,Eggs,2.73,pcs,Eggs Benedict
Eggs Benedict,Butter,9.09,g,Eggs Benedict
Eggs Benedict,Vinegar,0.02,lit,Eggs Benedict
Eggs Benedict,Bread,0.18,loaf,Eggs Benedict
Eggs Benedict,Black Pepper Powder,0,x,Eggs Benedict
Pancakes,Pancake Flour,50,g,Pancakes
Pancakes,Milk,16.67,lit,Pancakes
Pancakes,Eggs,0.4,pcs,Pancakes
Pancakes,Whipped Cream,16.67,g,Pancakes
Pancakes,Pancake Syrup,0.02,lit,Pancakes
Scrambled Egg,Bread ,0.13,loaf,Scrambled Egg
Scrambled Egg,Eggs,2,pc,Scrambled Egg
Scrambled Egg,Butter,10,g,Scrambled Egg
Scrambled Egg,Cream,0.01,lt,Scrambled Egg
Scrambled Egg,Green Chilly,1.67,g,Scrambled Egg
Scrambled Egg,Onion,16.67,g,Scrambled Egg
Veggie Cheese Omelette,Onion,23.33,g,Veggie Cheese Omelette
Veggie Cheese Omelette,Tomato,13.33,g,Veggie Cheese Omelette
Veggie Cheese Omelette,Green Chilly,3.33,g,Veggie Cheese Omelette
Veggie Cheese Omelette,Cheddar Cheese,6.67,g,Veggie Cheese Omelette
Veggie Cheese Omelette,Eggs,2,pcs,Veggie Cheese Omelette
Veggie Cheese Omelette,Bread,0.13,loaf,Veggie Cheese Omelette
Veggie Cheese Omelette,Oil,0.01,lit,Veggie Cheese Omelette
Veggie Cheese Omelette,Salt,0,x,Veggie Cheese Omelette
Kathi Roll,Onion,33.33,g,Kathi Roll
Kathi Roll,Tomato,23.33,g,Kathi Roll
Kathi Roll,Capsicum,23.33,g,Kathi Roll
Kathi Roll,Potato,66.67,g,Kathi Roll
Kathi Roll,Garlic,1.67,g,Kathi Roll
Kathi Roll,Paneer,16.67,g,Kathi Roll
Kathi Roll,Processed Cheese,0.33,cubes,Kathi Roll
Kathi Roll,Mayo,23.33,g,Kathi Roll
Kathi Roll,Wheat Flour,66.67,g,Kathi Roll
Kathi Roll,White Flour,8.33,g,Kathi Roll
Kathi Roll,Butter,6.67,g,Kathi Roll
Kathi Roll,Pickle,1.67,g,Kathi Roll
Vegan Pancakes,Pancake Flour,50,g,Vegan Pancakes
Vegan Pancakes,Milk,16.67,lit,Vegan Pancakes
Vegan Pancakes,banana,0.2,pcs,Vegan Pancakes
Vegan Pancakes,Whipped Cream,16.67,g,Vegan Pancakes
Vegan Pancakes,Pancake Syrup,0.02,lit,Vegan Pancakes
Green Peas Kabab,Green Peas,116.67,g,Green Peas Kabab
Green Peas Kabab,Onion,16.67,g,Green Peas Kabab
Green Peas Kabab,Green Chilly,3.33,g,Green Peas Kabab
Green Peas Kabab,Garlic,3.33,g,Green Peas Kabab
Green Peas Kabab,Ginger,1.67,g,Green Peas Kabab
Green Peas Kabab,Corriander,1.67,g,Green Peas Kabab
Green Peas Kabab,Rice Flour,3.33,g,Green Peas Kabab
Green Peas Kabab,White Flour,5,g,Green Peas Kabab
Green Peas Kabab,Oil,0,x,Green Peas Kabab
Green Peas Kabab,Bread Crumb,0.02,pkt,Green Peas Kabab
Green Peas Kabab,Bread ,0.13,loaf,Green Peas Kabab
Green Peas Kabab,Salt,0,x,Green Peas Kabab
Green Peas Kabab,Garam Masala,0,x,Green Peas Kabab
Gourmet Club Sandwich,Cucumber,33.33,g,Gourmet Club Sandwich
