Oatmeal Smoothie,Almond,1,pc,Oatmeal Smoothie
Chikoo Shake,Almond,0,x,Chikoo Shake
Black Forest Protein Shake,Almond,1,x,Black Forest Protein Shake
Lassi,Almond,2.14,x,Lassi
Fruit Chaat Salad,Apple,25,g,Fruit Chaat Salad
Fruit Cream Salad,Apple,66.67,g,Fruit Cream Salad
Vegan Pancakes,Banana,0.2,pcs,Vegan Pancakes
Banana Melon Punch,Banana,0.5,pcs,Banana Melon Punch
Banana Musk Melon Punch,Banana,0.5,pcs,Banana Musk Melon Punch
Black Forest Protein Shake,Banana,0.33,pcs,Black Forest Protein Shake
Fruit Chaat Salad,Banana,0.33,Pcs,Fruit Chaat Salad
Fruit Cream Salad,Banana,0.67,Pcs,Fruit Cream Salad
Penne Arrabiata Pasta,Basil Leaves,0.03,x,Penne Arrabiata Pasta
Grilled Tomato,Basil Leaves,0.02,bunch,Grilled Tomato
Gourmet Club Sandwich,Beetroot,33.33,g,Gourmet Club Sandwich
Beetroot Juice,Beetroot,583.33,g,Beetroot Juice
Eggs Benedict,Black Pepper Powder,0,x,Eggs Benedict
Penne Arrabiata Pasta,Black Pepper Powder,0,x,Penne Arrabiata Pasta
Grilled Tomato,Black Pepper Powder,0,x,Grilled Tomato
Eggs Benedict,Bread,0.18,loaf,Eggs Benedict
Scrambled Egg,Bread,0.13,loaf,Scrambled Egg
Veggie Cheese Omelette,Bread,0.13,loaf,Veggie Cheese Omelette
Green Peas Kabab,Bread,0.13,loaf,Green Peas Kabab
Gourmet Club Sandwich,Bread,0.17,loaf,Gourmet Club Sandwich
Chicken Patties,Bread,0.13,Loaf,Chicken Patties
Chicken Stroganoff,Bread,0,x,Chicken Stroganoff
Rockford Chicken Sandwich,Bread,0.17,loaf,Rockford Chicken Sandwich
Green Peas Kabab,Bread Crumb,0.02,pkt,Green Peas Kabab
Chicken Patties,Bread Crumb,6.67,g,Chicken Patties
Sambhar,Brinjal,10,g,#N/A
Eggs Benedict,Butter,9.09,g,Eggs Benedict
Scrambled Egg,Butter,10,g,Scrambled Egg
Kathi Roll,Butter,6.67,g,Kathi Roll
Gourmet Club Sandwich,Butter,10,g,Gourmet Club Sandwich
Butter Milk,Butter Milk,0.2,lit,Butter Milk
Coleslaw Salad,Cabbage,33.33,g,Coleslaw Salad
